week_start,commits,significant_lines_changed,additions,deletions,prs,average_pr_size,median_pr_size,q1_pr_size,q3_pr_size,total_pr_size,max_pr_size
2024-05-27,165,7540,4983,2557,143,52.2,10.0,3.5,28.0,7465,1963
2024-06-03,219,14176,8684,5492,147,76.5,19.0,5.0,82.5,11246,971
2024-06-10,88,5786,4006,1780,67,84.03,11.0,4.0,41.5,5630,1478
2024-06-17,201,17564,11702,5862,144,103.16,18.0,6.0,52.75,14855,1969
2024-06-24,154,10659,5566,5093,106,96.88,15.5,4.0,48.5,10269,2595
2024-07-01,132,18190,13654,4536,89,179.04,22.0,6.0,101.0,15935,8101
2024-07-08,169,20054,9977,10077,117,127.21,19.0,5.0,90.0,14883,2965
2024-07-15,206,65108,60857,4251,82,97.32,19.0,5.0,75.25,7980,1541
2024-07-22,195,8836,5962,2874,125,61.61,10.0,4.0,34.0,7701,1706
2024-07-29,201,9142,5893,3249,134,54.72,23.0,6.0,45.0,7333,1102
2024-08-05,204,15290,9413,5877,111,113.74,14.0,4.0,68.0,12625,5088
2024-08-12,237,21118,14577,6541,102,141.73,23.0,5.25,86.75,14456,2450
2024-08-19,223,20613,12605,8008,137,109.05,19.0,5.0,79.0,14940,2466
2024-08-26,211,108545,54242,54303,113,945.92,13.0,4.0,40.0,106889,100090
2024-09-02,244,79461,49088,30373,154,502.3,29.5,8.0,104.5,77354,61317
2024-09-09,281,16980,10979,6001,169,82.23,24.0,9.0,85.0,13897,897
2024-09-16,262,21852,15087,6765,167,102.05,26.0,7.5,120.5,17043,1442
2024-09-23,321,58617,35918,22699,195,243.81,12.0,4.0,36.0,47543,11567
2024-09-30,264,24042,11553,12489,183,77.43,22.0,7.0,77.5,14169,1598
2024-10-07,135,9021,6368,2653,108,78.03,12.0,5.0,61.75,8427,1468
2024-10-14,183,17698,9496,8202,130,128.96,16.0,5.0,68.25,16765,6745
2024-10-21,214,9104,5161,3943,167,35.38,10.0,4.0,27.0,5908,961
2024-10-28,231,15908,6876,9032,132,84.16,13.0,5.75,50.5,11109,3095
2024-11-04,242,166960,160207,6753,131,1240.09,18.0,6.0,73.0,162452,149259
2024-11-11,254,19998,12417,7581,127,108.54,35.0,6.0,92.0,13784,2141
2024-11-18,245,15878,10527,5351,144,89.05,28.5,8.0,103.25,12823,818
2024-11-25,222,12322,8488,3834,140,76.36,29.5,9.75,89.0,10691,816
2024-12-02,214,9882,6158,3724,185,51.1,12.0,4.0,50.0,9454,1314
2024-12-09,231,16309,10110,6199,184,86.68,9.0,4.0,28.0,15950,4258
2024-12-16,270,15141,10719,4422,194,72.22,15.0,4.25,48.75,14010,3706
2024-12-23,12,458,283,175,7,62.57,9.0,5.5,99.5,438,218
2024-12-30,13,567,351,216,5,102.2,40.0,24.0,184.0,511,255
2025-01-06,185,15409,11308,4101,125,96.27,33.0,9.0,86.0,12034,1567
2025-01-13,189,13342,9442,3900,114,101.67,34.5,10.25,98.75,11590,2500
2025-01-20,241,20214,13909,6305,167,104.1,25.0,5.0,68.0,17385,3109
2025-01-27,249,11090,7195,3895,178,48.56,13.0,5.0,43.5,8644,1549
2025-02-03,325,52602,44363,8239,173,175.99,17.0,5.0,53.0,30446,18381
2025-02-10,279,82214,18696,63518,157,116.7,18.0,6.0,80.0,18322,3129
2025-02-17,368,36195,24688,11507,219,120.08,22.0,6.0,95.0,26298,6258
2025-02-24,312,15305,9932,5373,207,53.86,13.0,5.0,45.5,11150,1690
2025-03-03,168,39990,30823,9167,132,247.27,21.0,6.0,72.25,32640,15636
2025-03-10,302,42410,33704,8706,170,176.89,26.0,8.0,97.0,30072,11917
2025-03-17,437,57601,38508,19093,272,175.14,20.0,5.0,68.25,47637,8748
2025-03-24,314,10964,7487,3477,170,34.14,10.0,3.0,30.0,5803,497
2025-03-31,264,24213,15875,8338,175,87.62,17.0,6.5,57.0,15333,2698
2025-04-07,223,23825,15978,7847,141,91.35,22.0,6.0,109.0,12881,3072
2025-04-14,267,20896,13894,7002,155,80.0,16.0,6.0,62.0,12400,1222
2025-04-21,289,20414,14059,6355,154,80.18,24.5,6.0,79.0,12347,750
2025-04-28,251,15463,10231,5232,100,38.36,10.0,4.0,29.0,3836,1506
2025-05-05,269,29362,16098,13264,146,133.23,14.5,5.0,60.75,19451,3939
2025-05-12,192,17343,12501,4842,140,108.6,20.0,5.75,69.0,15204,2972
2025-05-19,214,36237,20009,16228,122,199.34,30.5,6.0,123.75,24320,9859
2025-05-26,168,11707,7849,3858,104,86.02,23.0,6.0,60.75,8946,1870
2025-06-02,300,18704,9792,8912,175,88.14,18.0,6.0,60.0,15425,2644
2025-06-09,188,15363,7859,7504,121,82.17,21.0,7.0,82.0,9942,1143
2025-06-16,136,14691,10306,4385,98,133.76,31.5,8.0,121.5,13108,2749
2025-06-23,257,937622,922851,14771,153,172.99,33.0,5.0,98.0,26468,3846
2025-06-30,333,19720,15183,4537,183,68.72,14.0,4.5,38.0,12576,1985
2025-07-07,316,22868,14305,8563,152,51.34,13.0,4.0,38.25,7803,1390
2025-07-14,419,39172,25963,13209,149,101.58,19.0,6.0,89.0,15136,1235
2025-07-21,385,34000,25090,8910,126,102.73,25.0,6.0,78.0,12944,1856
